RM;LSTAT;PTRATIO; MEDV 
5,453;30,59;20,2; R$105.000,00 
5,683;22,98;20,2; R$105.000,00 
5,987;26,77;20,2; R$117.600,00 
5,852;29,97;20,2; R$132.300,00 
4,519;36,98;20,2; R$147.000,00 
5,414;23,97;20,1; R$147.000,00 
5,277;30,81;20,2; R$151.200,00 
6,343;20,32;20,2; R$151.200,00 
6,434;29,05;20,2; R$151.200,00 
5;31,99;20,2; R$155.400,00 
6,782;25,79;20,2; R$157.500,00 
5,093;29,68;20,1; R$170.100,00 
5,349;19,77;20,2; R$174.300,00 
5,896;24,39;20,2; R$174.300,00 
6,824;22,74;20,2; R$176.400,00 
5,935;34,02;20,2; R$176.400,00 
5,747;19,92;20,2; R$178.500,00 
5,531;27,38;20,2; R$178.500,00 
6,152;26,45;20,2; R$182.700,00 
4,368;30,63;20,2; R$184.800,00 
5,957;20,62;20,2; R$184.800,00 
6,38;24,08;20,2; R$199.500,00 
6,461;18,05;20,2; R$201.600,00 
5,036;25,68;20,2; R$203.700,00 
6,223;21,78;20,2; R$214.200,00 
4,88;30,62;20,2; R$214.200,00 
5,837;15,69;20,2; R$214.200,00 
6,968;17,21;20,2; R$218.400,00 
5,304;26,64;20,2; R$218.400,00 
4,652;28,28;20,2; R$220.500,00 
5,818;22,11;20,2; R$220.500,00 
5,854;23,79;20,2; R$226.800,00 
6,545;21,08;20,2; R$228.900,00 
6,202;14,52;20,2; R$228.900,00 
6,193;21,52;20,2; R$231.000,00 
5,536;23,6;20,2; R$237.300,00 
5,39;20,85;20,2; R$241.500,00 
5,565;17,16;20,2; R$245.700,00 
6,208;15,17;20,2; R$245.700,00 
4,903;29,29;14,7; R$247.800,00 
6,459;23,98;20,2; R$247.800,00 
4,138;23,34;20,2; R$249.900,00 
6,03;7,88;21; R$249.900,00 
5,304;24,91;20,2; R$252.000,00 
6,404;20,31;20,2; R$254.100,00 
5,52;24,56;20,2; R$258.300,00 
6,405;19,37;20,2; R$262.500,00 
6,251;16,44;20,2; R$264.600,00 
5,713;22,6;21; R$266.700,00 
5,887;16,35;20,2; R$266.700,00 
5,976;19,01;20,2; R$266.700,00 
5,627;22,88;20,2; R$268.800,00 
6,417;19,31;20,2; R$273.000,00 
5,701;18,35;21; R$275.100,00 
5,272;16,14;14,7; R$275.100,00 
6,38;23,69;20,2; R$275.100,00 
6,471;17,12;20,2; R$275.100,00 
5,95;27,71;21; R$277.200,00 
5,857;21,32;21,2; R$279.300,00 
6,794;21,24;20,2; R$279.300,00 
6,162;24,1;20,2; R$279.300,00 
5,403;26,82;14,7; R$281.400,00 
6,103;23,29;20,2; R$281.400,00 
6,629;23,27;20,2; R$281.400,00 
6,749;17,44;20,2; R$281.400,00 
6,096;20,34;21; R$283.500,00 
5,936;16,94;20,2; R$283.500,00 
5,57;21,02;21; R$285.600,00 
5,983;18,07;20,1; R$285.600,00 
6,13;27,8;14,7; R$289.800,00 
4,906;34,77;20,2; R$289.800,00 
4,138;37,97;20,2; R$289.800,00 
6,193;15,17;20,2; R$289.800,00 
5,427;18,14;20,2; R$289.800,00 
5,599;16,51;21; R$291.900,00 
6,649;23,24;20,2; R$291.900,00 
6,174;24,16;21,2; R$294.000,00 
6,833;19,69;20,2; R$296.100,00 
6,185;18,13;20,2; R$296.100,00 
6,525;18,13;20,2; R$296.100,00 
6,006;15,7;20,2; R$298.200,00 
5,637;18,34;21,2; R$300.300,00 
6,436;16,22;20,2; R$300.300,00 
5,399;30,81;17,9; R$302.400,00 
5,019;34,41;21,2; R$302.400,00 
5,813;19,88;21; R$304.500,00 
6,072;13,04;21; R$304.500,00 
6,348;17,64;20,2; R$304.500,00 
4,926;29,53;14,7; R$306.600,00 
6,185;18,03;20,2; R$306.600,00 
6,047;17,28;21; R$310.800,00 
6,341;17,79;20,2; R$312.900,00 
6,728;18,71;20,2; R$312.900,00 
6,301;16,23;20,2; R$312.900,00 
6,377;20,45;15,2; R$315.000,00 
7,313;13,44;20,2; R$315.000,00 
5,757;10,11;20,2; R$315.000,00 
5,713;17,11;20,2; R$317.100,00 
6,142;18,72;21; R$319.200,00 
6,655;17,73;20,2; R$319.200,00 
5,454;18,06;20,1; R$319.200,00 
5,012;12,12;14,7; R$321.300,00 
5,597;21,45;14,7; R$323.400,00 
6,485;18,85;20,2; R$323.400,00 
5,924;16,3;21; R$327.600,00 
5,757;17,31;21,2; R$327.600,00 
5,468;26,42;14,7; R$327.600,00 
5,628;16,65;14,7; R$327.600,00 
6,152;15,02;14,7; R$327.600,00 
5,613;27,26;19,1; R$329.700,00 
5,966;14,44;19,7; R$336.000,00 
4,973;12,64;18,4; R$338.100,00 
6,425;12,03;20,2; R$338.100,00 
6,297;17,27;20,2; R$338.100,00 
5,693;17,19;21,2; R$340.200,00 
5,705;11,5;18,4; R$340.200,00 
5,155;20,08;20,2; R$342.300,00 
6,701;16,42;20,2; R$344.400,00 
5,631;29,93;15,2; R$346.500,00 
6,54;8,65;15,9; R$346.500,00 
5,813;14,81;21; R$348.600,00 
6,03;18,8;17,9; R$348.600,00 
6,411;15,02;20,2; R$350.700,00 
6,484;18,68;20,2; R$350.700,00 
5,803;14,64;20,2; R$352.800,00 
6,027;14,33;19,2; R$352.800,00 
6,129;15,12;14,7; R$357.000,00 
6,454;14,59;21,2; R$359.100,00 
5,706;12,43;16,9; R$359.100,00 
6,406;19,52;20,2; R$359.100,00 
5,898;12,67;18,8; R$361.200,00 
5,617;26,4;20,2; R$361.200,00 
6,657;21,22;20,2; R$361.200,00 
5,856;25,41;19,1; R$363.300,00 
5,594;13,09;18,9; R$365.400,00 
5,942;16,9;21,2; R$365.400,00 
5,875;14,43;14,7; R$365.400,00 
5,99;14,67;21; R$367.500,00 
6,014;10,53;18,8; R$367.500,00 
5,569;15,1;19,2; R$367.500,00 
5,593;12,5;19,1; R$369.600,00 
6,376;14,65;20,2; R$371.700,00 
6,151;18,46;21,2; R$373.800,00 
5,186;28,32;14,7; R$373.800,00 
5,914;18,33;18,4; R$373.800,00 
6,212;17,6;20,2; R$373.800,00 
7,393;16,74;20,2; R$373.800,00 
4,628;34,37;20,2; R$375.900,00 
6,431;15,39;21,2; R$378.000,00 
6,335;16,96;21,2; R$380.100,00 
6,096;10,26;21; R$382.200,00 
5,727;11,28;21; R$382.200,00 
5,663;8,05;22; R$382.200,00 
5,928;15,76;17,8; R$384.300,00 
5,794;14,1;19,2; R$384.300,00 
6,495;12,8;21; R$386.400,00 
5,822;15,03;21,2; R$386.400,00 
6,219;16,59;20,2; R$386.400,00 
6,254;10,45;17,8; R$388.500,00 
5,605;18,46;19,1; R$388.500,00 
5,708;11,74;19,6; R$388.500,00 
5,895;10,56;20,2; R$388.500,00 
6,405;10,63;20,9; R$390.600,00 
5,884;7,79;18,3; R$390.600,00 
5,741;13,15;19,7; R$392.700,00 
6,092;17,09;17,8; R$392.700,00 
5,968;9,29;20,2; R$392.700,00 
5,913;16,21;17,8; R$394.800,00 
5,879;17,58;19,1; R$394.800,00 
6,004;17,1;15,2; R$396.900,00 
6,009;13,27;15,2; R$396.900,00 
5,933;9,68;19,2; R$396.900,00 
5,888;14,8;21,1; R$396.900,00 
5,985;9,74;20,2; R$399.000,00 
5,952;17,15;20,2; R$399.000,00 
5,88;12,03;14,7; R$401.100,00 
6,003;21,32;20,2; R$401.100,00 
5,926;18,13;20,2; R$401.100,00 
6,114;14,98;20,2; R$401.100,00 
6,021;10,3;17,8; R$403.200,00 
6,458;12,6;21,2; R$403.200,00 
5,682;10,21;17,9; R$405.300,00 
6,137;13,44;20,9; R$405.300,00 
5,731;13,61;17,8; R$405.300,00 
5,404;23,98;18,6; R$405.300,00 
5,868;9,97;16,9; R$405.300,00 
5,602;16,2;17,9; R$407.400,00 
5,787;10,24;16,1; R$407.400,00 
6,229;15,55;20,9; R$407.400,00 
5,709;15,79;14,7; R$407.400,00 
6,023;11,72;18,4; R$407.400,00 
6,031;7,83;16,9; R$407.400,00 
5,851;16,47;20,9; R$409.500,00 
5,836;18,66;20,9; R$409.500,00 
5,869;9,8;20,2; R$409.500,00 
6,317;13,99;20,2; R$409.500,00 
5,965;13,83;21; R$411.600,00 
5,927;9,22;19,7; R$411.600,00 
6,326;12,26;21,2; R$411.600,00 
5,404;13,28;14,7; R$411.600,00 
6,229;12,87;20,2; R$411.600,00 
5,963;13,45;16,8; R$413.700,00 
5,39;21,14;19,2; R$413.700,00 
6,474;12,27;20,9; R$415.800,00 
5,782;15,94;18,4; R$415.800,00 
6,144;9,09;16,9; R$415.800,00 
5,834;8,47;21; R$417.900,00 
6,251;14,19;20,2; R$417.900,00 
5,759;14,13;20,2; R$417.900,00 
6,167;16,29;20,2; R$417.900,00 
5,841;11,41;19,2; R$420.000,00 
5,786;14,15;17,9; R$420.000,00 
6,279;11,97;18,7; R$420.000,00 
5,344;23,09;18,6; R$420.000,00 
6,081;14,7;20,2; R$420.000,00 
6,167;12,33;20,9; R$422.100,00 
6,095;12,4;16,6; R$422.100,00 
6,23;12,93;18,2; R$422.100,00 
5,713;14,76;20,2; R$422.100,00 
5,983;13,35;20,1; R$422.100,00 
5,456;11,69;21; R$424.200,00 
6,513;10,29;20,2; R$424.200,00 
5,874;9,1;18,7; R$426.300,00 
6,004;14,27;19,1; R$426.300,00 
5,79;15,84;16; R$426.300,00 
5,972;9,97;18,4; R$426.300,00 
5,949;8,26;21; R$428.400,00 
6,127;14,09;20,9; R$428.400,00 
5,872;15,37;17,8; R$428.400,00 
6,041;7,7;19,6; R$428.400,00 
6,115;9,43;16,8; R$430.500,00 
5,961;17,93;19,1; R$430.500,00 
6,226;10,15;19,1; R$430.500,00 
6,249;10,59;18,2; R$432.600,00 
6,059;8,51;20,2; R$432.600,00 
5,936;5,57;22; R$432.600,00 
5,871;13,34;20,2; R$432.600,00 
5,905;11,45;20,2; R$432.600,00 
6,12;9,08;21; R$432.600,00 
5,92;13,65;18,6; R$434.700,00 
6,31;6,75;20,2; R$434.700,00 
6,14;10,27;18,7; R$436.800,00 
5,362;10,19;20,2; R$436.800,00 
5,648;14,1;20,2; R$436.800,00 
5,885;8,79;18,9; R$438.900,00 
5,876;9,25;16,4; R$438.900,00 
6,674;11,98;21; R$441.000,00 
5,85;8,77;19,2; R$441.000,00 
6,113;12,73;18,4; R$441.000,00 
5,856;13;18,6; R$443.100,00 
6,037;8,01;20,2; R$443.100,00 
6,069;9,55;17,9; R$445.200,00 
6,232;12,34;18,7; R$445.200,00 
6,176;12,04;17,8; R$445.200,00 
6,312;10,58;20,2; R$445.200,00 
6,019;12,92;19,2; R$445.200,00 
6,286;8,94;18,7; R$449.400,00 
6,163;11,34;18; R$449.400,00 
5,986;14,81;19,1; R$449.400,00 
6,209;13,22;20,2; R$449.400,00 
6,229;13,11;20,2; R$449.400,00 
6,122;14,1;14,7; R$451.500,00 
5,951;17,92;16,4; R$451.500,00 
6,421;9,14;17,8; R$453.600,00 
6,266;7,9;18,4; R$453.600,00 
5,889;15,71;15,2; R$455.700,00 
5,961;9,88;19,2; R$455.700,00 
6,195;13;20,9; R$455.700,00 
5,96;17,27;18,6; R$455.700,00 
6,164;21,46;17,4; R$455.700,00 
6,009;10,4;16; R$455.700,00 
6,395;13,27;20,2; R$455.700,00 
5,762;10,42;20,2; R$457.800,00 
5,707;12,01;19,2; R$457.800,00 
6,108;6,57;16,4; R$459.900,00 
4,963;14;20,2; R$459.900,00 
5,878;8,1;18,9; R$462.000,00 
6,405;8,2;17,8; R$462.000,00 
5,87;14,37;19,1; R$462.000,00 
6,897;11,38;16,6; R$462.000,00 
6,453;8,23;15,3; R$462.000,00 
6,59;9,5;16,1; R$462.000,00 
6,794;6,48;21; R$462.000,00 
6,122;5,98;18,4; R$464.100,00 
6,456;6,73;19,7; R$466.200,00 
6,121;8,44;18,5; R$466.200,00 
6,358;11,22;16,6; R$466.200,00 
6,083;12,79;19,6; R$466.200,00 
6,316;5,68;20,2; R$466.200,00 
6,402;11,32;14,7; R$468.300,00 
6,315;7,6;16,6; R$468.300,00 
5,807;16,03;18,6; R$470.400,00 
6,593;9,67;21; R$470.400,00 
6,015;12,86;18,5; R$472.500,00 
5,783;18,06;18,6; R$472.500,00 
6,345;4,97;14,8; R$472.500,00 
6,417;8,81;17,8; R$474.600,00 
5,859;9,64;16,6; R$474.600,00 
5,891;10,87;18,6; R$474.600,00 
6,333;7,34;16,9; R$474.600,00 
6,112;12,67;20,2; R$474.600,00 
5,854;11,64;14,7; R$476.700,00 
6,127;11,48;20,2; R$476.700,00 
6,065;5,52;19,2; R$478.800,00 
6,715;10,16;17,8; R$478.800,00 
5,56;10,45;13; R$478.800,00 
6,635;4,54;18,4; R$478.800,00 
6,012;12,43;15,2; R$480.900,00 
6,167;7,51;19; R$480.900,00 
6,442;8,16;18,2; R$480.900,00 
6,49;5,98;19,7; R$480.900,00 
6,372;11,12;21,2; R$483.000,00 
6,373;10,5;16,4; R$483.000,00 
6,312;6,15;19,6; R$483.000,00 
6,242;10,74;20,2; R$483.000,00 
5,935;6,58;21; R$485.100,00 
5,572;14,69;16,6; R$485.100,00 
6,382;10,36;18,4; R$485.100,00 
6,376;6,87;19,6; R$485.100,00 
6,516;6,36;17,9; R$485.100,00 
3,863;13,33;20,2; R$485.100,00 
5,67;17,6;19,2; R$485.100,00 
6,02;10,11;16,6; R$487.200,00 
6,209;7,14;16,6; R$487.200,00 
6,051;18,76;20,2; R$487.200,00 
6,437;14,36;20,2; R$487.200,00 
6,145;6,86;19,7; R$489.300,00 
6,51;7,39;14,7; R$489.300,00 
5,888;13,51;16,4; R$489.300,00 
6,606;7,37;16,6; R$489.300,00 
5,998;8,43;16,8; R$491.400,00 
6,245;7,54;19,2; R$491.400,00 
6,29;4,67;16,1; R$493.500,00 
7,007;5,5;17,8; R$495.600,00 
6,416;9,04;16,6; R$495.600,00 
5,412;29,55;18,6; R$497.700,00 
6,481;6,36;16,6; R$497.700,00 
6,393;5,19;16,6; R$497.700,00 
6,75;7,74;20,2; R$497.700,00 
5,877;12,14;14,7; R$499.800,00 
6,319;11,1;14,7; R$499.800,00 
6,567;9,28;18,4; R$499.800,00 
6,426;7,2;19,6; R$499.800,00 
6,619;7,22;19; R$501.900,00 
6,389;9,62;18,5; R$501.900,00 
6,127;8,58;16; R$501.900,00 
6,696;7,18;17,6; R$501.900,00 
6,976;5,64;21; R$501.900,00 
6,575;4,98;15,3; R$504.000,00 
6,086;10,88;17,4; R$504.000,00 
6,273;6,78;18,7; R$506.100,00 
6,162;7,43;14,7; R$506.100,00 
6,579;5,49;18,3; R$506.100,00 
6,417;6,72;19,2; R$508.200,00 
6,066;6,43;14,7; R$510.300,00 
5,981;11,65;17,4; R$510.300,00 
6,108;9,16;19,1; R$510.300,00 
6,326;10,97;18,6; R$512.400,00 
6,064;14,66;18,6; R$512.400,00 
6,487;5,9;19,1; R$512.400,00 
6,538;7,73;18,6; R$512.400,00 
6,433;9,52;19,1; R$514.500,00 
6,635;5,99;17; R$514.500,00 
5,926;13,59;19,2; R$514.500,00 
6,315;6,29;16,6; R$516.600,00 
6,431;5,08;19,6; R$516.600,00 
5,966;10,13;19,2; R$518.700,00 
6,211;7,44;17,9; R$518.700,00 
6,383;5,77;17,3; R$518.700,00 
6,302;6,72;19; R$520.800,00 
6,438;3,59;19,1; R$520.800,00 
6,565;9,51;16,6; R$520.800,00 
6,871;6,07;14,8; R$520.800,00 
6,511;5,28;16,8; R$525.000,00 
6,762;9,5;19,7; R$525.000,00 
6,211;6,21;18,2; R$525.000,00 
6,101;9,81;14,7; R$525.000,00 
6,182;9,47;18,6; R$525.000,00 
6,415;6,12;19,6; R$525.000,00 
6,398;7,79;20,2; R$525.000,00 
7,061;7,01;20,2; R$525.000,00 
6,631;9,54;17,4; R$527.100,00 
6,24;6,59;18,6; R$529.200,00 
6,169;5,81;17,9; R$531.300,00 
6,718;6,56;19,1; R$550.200,00 
5,604;13,98;17,8; R$554.400,00 
6,495;8,67;16,1; R$554.400,00 
6,781;7,67;20,9; R$556.500,00 
6,77;4,84;17,9; R$558.600,00 
6,63;6,53;18,5; R$558.600,00 
6,939;5,89;19,7; R$558.600,00 
6,951;9,71;17,4; R$560.700,00 
6,25;5,5;14,7; R$567.000,00 
6,172;19,15;15,2; R$569.100,00 
6,549;7,39;16; R$569.100,00 
6,727;9,42;20,9; R$577.500,00 
6,879;9,93;17,4; R$577.500,00 
3,561;7,12;20,2; R$577.500,00 
6,852;19,78;20,2; R$577.500,00 
6,63;4,7;19,2; R$585.900,00 
5,608;12,13;20,2; R$585.900,00 
6,727;5,29;19; R$588.000,00 
6,375;9,38;18,6; R$590.100,00 
6,849;7,53;18,4; R$592.200,00 
6,625;6,65;18; R$596.400,00 
6,616;8,93;18,4; R$596.400,00 
6,861;3,33;19,2; R$598.500,00 
6,678;6,27;16; R$600.600,00 
6,43;5,21;18,7; R$602.700,00 
7,079;5,7;17,8; R$602.700,00 
6,642;9,69;16,4; R$602.700,00 
6,726;8,05;17,4; R$609.000,00 
7,041;4,74;14,8; R$609.000,00 
6,604;4,38;15,6; R$611.100,00 
6,482;7,19;17,6; R$611.100,00 
6,546;5,33;16,6; R$617.400,00 
6,153;13,15;17,8; R$621.600,00 
6,957;3,53;19,1; R$621.600,00 
6,556;4,56;15,2; R$625.800,00 
6,98;11,66;20,2; R$625.800,00 
6,86;6,92;16,6; R$627.900,00 
6,618;7,6;17,4; R$632.100,00 
6,842;6,9;13; R$632.100,00 
6,728;4,5;17; R$632.100,00 
7,107;8,61;12,6; R$636.300,00 
6,739;4,69;15,2; R$640.500,00 
7,014;14,79;13; R$644.700,00 
6,595;4,32;18,3; R$646.800,00 
7,327;11,25;13; R$651.000,00 
6,8;5,03;15,6; R$653.100,00 
6,874;4,61;17,6; R$655.200,00 
6,552;3,76;17,4; R$661.500,00 
7,358;4,73;17,4; R$661.500,00 
6,816;3,95;15,1; R$663.600,00 
7,163;6,36;17,4; R$663.600,00 
7,412;5,25;17,4; R$665.700,00 
6,782;6,68;15,2; R$672.000,00 
6,854;2,98;17,6; R$672.000,00 
7,088;7,85;15,3; R$676.200,00 
6,758;3,53;17,6; R$680.400,00 
6,563;5,68;17,8; R$682.500,00 
7,241;5,49;15,5; R$686.700,00 
7,135;4,45;17; R$690.900,00 
7,104;8,05;18,6; R$693.000,00 
6,826;4,16;17,6; R$695.100,00 
6,982;4,86;16,1; R$695.100,00 
7,416;6,19;18; R$697.200,00 
7,267;6,05;17,6; R$697.200,00 
7,287;4,08;12,6; R$699.300,00 
6,998;2,94;18,7; R$701.400,00 
7,42;6,47;18,4; R$701.400,00 
7,203;9,59;13; R$709.800,00 
7,274;6,62;12,6; R$726.600,00 
7,185;4,03;17,8; R$728.700,00 
7,024;1,98;18,3; R$732.900,00 
7,185;5,39;15,2; R$732.900,00 
6,975;4,56;17; R$732.900,00 
6,812;4,85;14,9; R$737.100,00 
7,691;6,58;18,6; R$739.200,00 
7,249;4,81;17,9; R$743.400,00 
6,968;4,59;14,9; R$743.400,00 
7,333;7,79;13; R$756.000,00 
7,236;6,93;18,4; R$758.100,00 
7,147;5,33;18,7; R$760.200,00 
6,144;9,45;17,8; R$760.200,00 
7,178;2,87;15,2; R$764.400,00 
7,206;8,1;13; R$766.500,00 
6,951;5,1;15,2; R$777.000,00 
6,98;5,04;17,8; R$781.200,00 
7,148;3,56;19,2; R$783.300,00 
8,04;3,13;17,4; R$789.600,00 
7,155;4,82;17,8; R$795.900,00 
8,069;4,21;18; R$812.700,00 
7,765;7,56;17,8; R$835.800,00 
6,943;4,59;14,7; R$867.300,00 
8,337;2,47;17,4; R$875.700,00 
7,61;3,11;14,7; R$888.300,00 
8,259;3,54;19,1; R$898.800,00 
7,52;7,26;13; R$905.100,00 
7,47;3,16;13; R$913.500,00 
7,82;3,57;18; R$919.800,00 
7,454;3,11;15,9; R$924.000,00 
8,266;4,14;17,4; R$940.800,00 
7,82;3,76;14,9; R$953.400,00 
7,645;3,01;14,9; R$966.000,00 
7,686;3,92;17,4; R$980.700,00 
8,247;3,95;17,4; R$1.014.300,00 
7,853;3,81;14,7; R$1.018.500,00 
8,398;5,91;13; R$1.024.800,00 
